id,name,year,rating,rank,num_players,gameplay_time,age,complexity_weight,category,mechanisms,type
bg1,Sweet Valley High,1988,4.8,11444,2-4,30  Min,8+,1.00/5,Memory;Novel-based,Memory;Roll / Spin and Move;Set Collection,Admin: Better Description Needed!
bg2,007 James Bond: You Only Live Twice,1985,5.7,,2,20  Min,8+,1.33/5,Adventure;Movies / TV / Radio theme;Novel-based,Roll / Spin and Move,007 James Bond Action Episode Games;Characters: James Bond
bg3,Rock Paper Scissors Inc.,2003,5.0,,2,10  Min,6+,1.50/5,Bluffing;Economic;Print & Play,Rock-Paper-Scissors;Simultaneous Action Selection;Stock Holding,
bg4,VisualEyes,2003,5.6,8784,2-8,30  Min,8+,1.41/5,Dice;Negotiation;Party Game;Puzzle;Real-time;Word Game,Dice Rolling;Paper-and-Pencil;Voting,
bg5,007 James Bond: Goldfinger,1985,6.0,,2,20  Min,8+,1.50/5,Adventure;Movies / TV / Radio theme;Novel-based,Area Movement;Roll / Spin and Move,007 James Bond Action Episode Games;Characters: James Bond
bg6,Assembly Line,2003,5.0,,2,20  Min,10+,1.50/5,Abstract Strategy;Bluffing;Economic;Print & Play,Rock-Paper-Scissors;Simultaneous Action Selection,
bg7,Cronberg,2003,6.0,4074,2-4,20  Min,8+,1.91/5,City Building;Print & Play,Area Enclosure;Tile Placement,Admin: Better Description Needed!
bg8,Münchhausen,1996,5.9,8152,3-8,30  Min,8+,1.09/5,Bluffing;Card Game;Fantasy,,
bg9,Lickin' Lizards,1993,5.4,,2-4,20  Min,5+,0.00/5,Action / Dexterity;Animals;Children's Game;Real-time,,Animals: Lizards;Animals: Spiders
bg10,Slobberin' Sam,1993,2.0,,2-4,20  Min,,0.00/5,Action / Dexterity;Animals;Children's Game;Electronic,,3D Games;Animals: Dogs
bg11,The Odd-Ball Scenario,1996,5.0,,2-6,30  Min,,0.00/5,Expansion for Base-game;Spies/Secret Agents,,
bg12,Husch Husch kleine Hexe,1994,5.5,10275,2-6,15  Min,3+,1.00/5,Children's Game;Dice;Fantasy;Memory;Racing,Dice Rolling;Memory;Roll / Spin and Move,Witches
bg13,Mad Dash!,1991,5.4,,2,10  Min,8+,1.00/5,Card Game;Educational;Racing,Hand Management;Pattern Building,
bg14,Batalo,1992,6.2,,2,30  Min,6+,2.00/5,Abstract Strategy,Area Movement,Tube Games
bg15,Tilez!,1997,4.9,,2-4,30  Min,6+,1.50/5,Abstract Strategy,Tile Placement,Polyominoes
bg16,Blaster Bots,2003,5.5,,2-6,30  Min,12+,0.00/5,Card Game;Fighting;Science Fiction,Dice Rolling,
bg17,Electronic Dream Phone,1991,5.6,10924,1-4,20  Min,9+,2.33/5,Children's Game;Deduction;Electronic,Roll / Spin and Move,
bg18,World Cup in the Void,2003,0.0,,2,20  Min,,0.00/5,Card Game;Sports,Simulation;Variable Player Powers,Sports: Football / Soccer
bg19,Sabuca,1999,6.0,,2-6,20  Min,10+,1.33/5,Card Game;Word Game,Hand Management,
bg20,Korea: The Forgotten War,2003,8.1,1906,2,360  Min,16+,4.21/5,Korean War;Modern Warfare;Wargame,Dice Rolling;Hex-and-Counter;Simulation,Country: Korea;Operational Combat Series
bg21,Let's Do Lunch!,2000,5.3,10659,2,20  Min,12+,1.14/5,Abstract Strategy;Dice;Prehistoric,Dice Rolling,
bg22,Kung Fu Samurai on Giant Robot Island,2003,5.8,6690,2-6,30  Min,13+,1.50/5,Card Game;Humor;Movies / TV / Radio theme;Science Fiction,,B-Movies;Samurai
bg23,Grave Robbers II: Skippy's Revenge,2003,6.2,4266,2-6,30  Min,13+,1.28/5,Card Game;Horror;Humor;Movies / TV / Radio theme;Science Fiction,,Aliens;B-Movies
bg24,Booty,1995,3.9,,2-4,45  Min,13+,1.50/5,Abstract Strategy;Maze;Racing,Dice Rolling;Pick-up and Deliver;Tile Placement,
bg25,Lights Camera Action,2003,7.5,,2,45  Min,,0.00/5,Movies / TV / Radio theme;Party Game;Trivia,Co-operative Play;Role Playing,
bg26,Coodju,2001,5.1,,4,30  Min,,2.00/5,Party Game;Word Game,,
bg27,Radar Search,1969,4.6,,2,30  Min,6+,1.20/5,Bluffing;Deduction;Electronic;Spies/Secret Agents,Point to Point Movement;Secret Unit Deployment;Variable Player Powers,
bg28,Stampin',1989,4.4,,2-4,60  Min,,0.00/5,,Auction/Bidding;Roll / Spin and Move;Set Collection,Post Office Stamps and Mail
bg29,Glasnost,1989,4.4,,2-8,90  Min,12+,2.00/5,Political,,
bg30,Wall Street Game,1998,3.0,,2-5,60  Min,10+,0.00/5,Economic,Roll / Spin and Move;Stock Holding,Admin: Better Description Needed!
bg31,Build Puzzle Town,1976,5.7,,1-4,30  Min,8+,0.00/5,City Building,Pattern Building;Tile Placement,
bg32,Aventuras Heróicas: A Revelação da Princesa / O Encontro com Kaleb,1991,5.0,,3-6,90  Min,12+,0.00/5,Adventure;Collectible Components;Expansion for Base-game;Exploration;Fantasy,Co-operative Play;Role Playing;Variable Player Powers,
bg33,Aventuras Heróicas,1991,6.5,,3-5,90  Min,12+,0.00/5,Adventure;Collectible Components;Exploration;Fantasy;Fighting;Miniatures,Co-operative Play;Role Playing;Variable Player Powers,
bg34,SkyCapers,1995,5.8,,2-4,30  Min,6+,0.00/5,Action / Dexterity,Action / Movement Programming,3D Games
bg35,Coronets,2003,6.1,,3-5,90  Min,12+,2.00/5,Humor;Murder/Mystery;Racing,Action Point Allowance System;Dice Rolling;Modular Board;Pick-up and Deliver;Roll / Spin and Move;Set Collection,
bg36,E.T.: The Extra-Terrestrial,1982,3.6,12435,2-4,10  Min,7+,2.00/5,Movies / TV / Radio theme,Dice Rolling;Roll / Spin and Move,Admin: Better Description Needed!;Aliens
bg37,Frogger,1981,4.7,11716,2,10  Min,7+,1.40/5,Video Game Theme,Action Point Allowance System;Dice Rolling,Animals: Frogs
bg38,Löwenherz,1997,7.1,620,2-4,90  Min,12+,2.93/5,Medieval;Political,Area Control / Area Influence;Auction/Bidding;Modular Board,Admin: Better Description Needed!
bg39,Riffifi,2000,6.0,7870,3-5,15  Min,10+,1.00/5,Card Game,Simultaneous Action Selection,
bg40,Purse & Pockets Plus,2003,6.0,,5-100,20  Min,,1.00/5,Action / Dexterity;Party Game;Print & Play;Racing;Real-time,Partnerships;Pick-up and Deliver,
bg41,Murderless Mysteries: Arch Villains Anonymous,2003,5.0,,7-30,90  Min,16+,2.00/5,Deduction;Humor;Mafia;Murder/Mystery;Party Game;Pirates,Acting;Role Playing;Voting,
bg42,Charlie Brown Plays Baseball,1995,5.0,,2,20  Min,,1.00/5,Card Game;Comic Book / Strip;Movies / TV / Radio theme,Hand Management,Characters: Peanuts;Sports: Baseball
bg43,Logistic,1998,4.0,,2,45  Min,,0.00/5,Abstract Strategy;Economic;Transportation,Pick-up and Deliver,
bg44,Flotte Krabbe,1991,6.7,,2,10  Min,10+,0.00/5,Abstract Strategy;Animals;Racing,,Animals: Crabs
bg45,Track,1975,4.4,11788,2,20  Min,8+,1.25/5,Abstract Strategy,,
bg46,Munchkin 3: Clerical Errors,2003,6.5,,3-6,90  Min,10+,1.86/5,Card Game;Expansion for Base-game;Fantasy;Fighting;Humor,Card Drafting;Dice Rolling;Hand Management;Take That;Variable Player Powers,Munchkin
bg47,Munchkin Fu,2003,5.9,3353,3-6,90  Min,10+,1.75/5,Card Game;Fighting;Humor,Dice Rolling;Trading;Variable Player Powers,Asian Theme;Munchkin
bg48,Lord of the Rings Trivia Game,2003,6.1,4437,2-4,90  Min,12+,2.07/5,Adventure;Fantasy;Novel-based;Trivia,,
bg49,Jamie Swise Mystery Games: The Twelfth Night Murder,,7.0,,8,180  Min,16+,3.00/5,Deduction;Murder/Mystery,Acting;Role Playing,Celebrities: Shakespeare;Jamie Swise Mystery Games
bg50,Where's Bob's Hat?,1990,6.2,3554,3-5,45  Min,10+,1.60/5,Card Game,Trick-taking,
bg51,Spinergy,2000,5.8,8764,2-6,60  Min,15+,1.42/5,Party Game;Word Game,Storytelling,
bg52,Battlelines: The Stalingrad Campaign,2003,6.5,6939,2-6,60  Min,12+,2.67/5,Card Game;Wargame;World War II,Action Point Allowance System;Campaign / Battle Card Driven;Hand Management;Point to Point Movement,Country: Russia;Video Tape Box Games
bg53,American Idol Board Game,2003,1.8,,2-6,90  Min,6+,0.00/5,Movies / TV / Radio theme;Music;Party Game,Dice Rolling;Roll / Spin and Move;Set Collection;Singing,CD Board Games;TV Series: Idol
bg54,Downtown: Air War Over Hanoi 1965-1972,2004,7.8,1486,2,240  Min,14+,4.05/5,Aviation / Flight;Modern Warfare;Vietnam War;Wargame,Chit-Pull System;Dice Rolling;Hex-and-Counter;Simulation,Cities: Hanoi;Country: Vietnam
bg55,Finans,1949,5.1,12380,2-6,60  Min,8+,2.25/5,Economic,Dice Rolling;Roll / Spin and Move;Stock Holding,
bg56,Napoleon at Austerlitz,1981,6.3,7889,1-2,300  Min,12+,2.71/5,Fighting;Napoleonic;Wargame,Dice Rolling;Hex-and-Counter,Magazine: Wargamer;Napoleon & the Archduke Charles
bg57,MINDFIELD The Game of US Military Trivia,2003,1.0,,2-4,90  Min,12+,0.00/5,American Civil War;American Indian Wars;American Revolutionary War;Educational;Korean War,Co-operative Play;Dice Rolling;Partnerships;Roll / Spin and Move,
bg58,Rapidough,1994,6.3,5619,4-99,30  Min,8+,1.14/5,Action / Dexterity;Children's Game;Deduction;Humor;Party Game,Pattern Building;Pattern Recognition,Play Dough/Clay Games
bg59,Rat-Mal,1995,7.0,,2-5,30  Min,,0.00/5,Children's Game;Deduction,,
bg60,Electronic Lightfight: The Games of Dueling Lights,1981,5.3,,2-4,10  Min,8+,0.00/5,Action / Dexterity;Electronic,Hand Management,
bg61,Den of Thieves,2003,5.2,11049,2-5,90  Min,9+,1.50/5,Bluffing;Card Game;Medieval;Renaissance,Simultaneous Action Selection;Variable Player Powers,
bg62,Rockets Red Glare,1981,6.1,,2,120  Min,12+,2.40/5,Wargame,Hex-and-Counter;Simulation,
bg63,The Fonz: Hanging Out at Arnold's,1976,4.0,,2-4,30  Min,6+,1.00/5,Card Game;Children's Game;Movies / TV / Radio theme,Set Collection,
bg64,The Fall Guy,1981,5.5,,2-4,30  Min,7+,0.00/5,Movies / TV / Radio theme,Roll / Spin and Move;Set Collection,
bg65,Plott: Adventures in Space,1966,0.0,,2,60  Min,10+,0.00/5,Deduction;Science Fiction,Secret Unit Deployment,
bg66,Seapower & the State,1982,6.4,,2,120  Min,12+,2.80/5,Nautical;Wargame,Hex-and-Counter;Simulation,
bg67,Rival Den of Thieves,2003,5.5,,2-5,90  Min,10+,1.00/5,Bluffing;Card Game;Medieval;Renaissance,Simultaneous Action Selection;Variable Player Powers,
bg68,Scream Machine,2003,6.0,3608,3-6,45  Min,7+,1.54/5,Card Game,Action Point Allowance System;Card Drafting;Set Collection,
bg69,Gambler's Paradise,,0.0,,2-8,45  Min,,0.00/5,Bluffing;Card Game;Dice;Number,Auction/Bidding;Betting/Wagering;Dice Rolling;Hand Management;Simulation,
bg70,Collision!,1969,4.8,,2-4,30  Min,,0.00/5,Transportation,Roll / Spin and Move,
bg71,Siege,1999,4.9,11124,2,30  Min,10+,1.00/5,Card Game;Medieval,,
bg72,Intercept: The Electronic Search and Destroy Game,1978,4.9,,2,30  Min,8+,1.00/5,Electronic;Modern Warfare;Wargame,Point to Point Movement;Secret Unit Deployment,
bg73,Card Attack,1991,5.6,,2-6,45  Min,8+,1.00/5,Card Game,,
bg74,Centurions: Jake Rockwell's Battle to Stop Dr. Terror Game,1986,3.7,,2-4,30  Min,6+,1.00/5,Children's Game;Science Fiction,Modular Board;Pick-up and Deliver;Roll / Spin and Move,
bg75,The Archie Game,1969,4.0,,2-5,30  Min,7+,0.00/5,Action / Dexterity;Children's Game;Comic Book / Strip;Dice;Number,Dice Rolling,
bg76,Crescendo,1997,5.2,,2-4,30  Min,8+,0.00/5,Abstract Strategy,Modular Board,
bg77,Barney Miller,1977,4.4,,2-4,30  Min,8+,0.00/5,Movies / TV / Radio theme,Roll / Spin and Move,
bg78,Fight in the Skies,1966,6.6,6627,2-52,60  Min,12+,2.44/5,Aviation / Flight;Wargame;World War I,Dice Rolling;Hex-and-Counter;Role Playing;Simulation,
bg79,Galactic Grenadiers,1980,4.3,,2,120  Min,12+,0.00/5,Adventure;Fighting;Miniatures;Science Fiction,Role Playing;Simulation,
bg80,Shift,1973,4.3,,2-4,30  Min,,0.00/5,Abstract Strategy;Puzzle,Partnerships,
bg81,Murder à la carte: A Taste of His Own Medicine,1993,6.0,,6,180  Min,18+,1.00/5,Murder/Mystery,Role Playing,Murder à la carte
bg82,Desert Steel,1989,7.0,4518,2,240  Min,12+,3.00/5,Wargame;World War II,Hex-and-Counter,Tank Leader series
bg83,Western Front Tank Leader,1987,6.8,3587,2,240  Min,12+,3.10/5,Wargame;World War II,Hex-and-Counter;Simulation,Tank Leader series
bg84,Jenga Jacks,2000,6.7,,1,20  Min,8+,0.00/5,Action / Dexterity;Card Game,Hand Management,Jenga
bg85,Spite & Malice,2003,5.9,5164,2-5,30  Min,8+,1.38/5,Card Game,Pattern Building,Animals: Cats;Shedding Games;Traditional Card Games
bg86,Blank,2003,4.0,,1,90  Min,,0.00/5,Educational;Party Game;Puzzle;Word Game,Paper-and-Pencil;Partnerships;Simultaneous Action Selection,
bg87,Excalibur,1989,6.2,4173,2-6,120  Min,14+,3.10/5,Fighting;Medieval;Wargame,Action / Movement Programming;Dice Rolling;Paper-and-Pencil;Point to Point Movement;Simultaneous Action Selection,King Arthur Series;The Legend of King Arthur and the Knights of the…
bg88,Ökolopoly,1983,5.3,10791,1-6,45  Min,12+,2.50/5,City Building;Economic;Educational;Environmental;Industry / Manufacturing;Political,Action Point Allowance System;Co-operative Play;Simulation,
bg89,When Darkness Comes: The Most Dangerous Game,2003,6.1,,1-6,90  Min,14+,3.00/5,Dice;Expansion for Base-game;Miniatures;Spies/Secret Agents,Co-operative Play;Dice Rolling;Role Playing;Tile Placement,When Darkness Comes
bg90,Quinto,1994,4.5,,2-4,60  Min,10+,2.00/5,Card Game,Set Collection,
bg91,Quackshot,1995,6.9,5283,2-4,10  Min,6+,1.00/5,Action / Dexterity;Children's Game;Electronic;Real-time,,3D Games;Animals: Ducks
bg92,Nummerus Zahlus,1995,5.7,,1-4,10  Min,7+,2.00/5,Abstract Strategy,Set Collection,
bg93,Riskkapitalist,2000,7.8,,2-5,120  Min,12+,0.00/5,Economic;Negotiation,Auction/Bidding;Dice Rolling;Roll / Spin and Move;Stock Holding;Trading,
bg94,Touchdown A Minute Football,2003,4.2,,2,30  Min,,1.00/5,Sports,Dice Rolling;Simultaneous Action Selection,Sports: American Football / Gridiron
bg95,Strange Synergy,2003,5.8,6749,2-4,45  Min,12+,2.11/5,Comic Book / Strip;Fantasy;Fighting;Science Fiction,Dice Rolling;Variable Player Powers,Superheroes
bg96,Such a Thing?,1989,6.1,3417,2-8,30  Min,10+,1.25/5,Party Game;Word Game,Storytelling;Voting,
bg97,World War II in the West,2004,6.8,,2-5,360  Min,12+,4.00/5,Wargame;World War II,Action Point Allowance System;Auction/Bidding;Betting/Wagering;Dice Rolling;Hex-and-Counter,
bg98,Harry Potter Casting Stone Game,2001,4.0,11875,2,20  Min,8+,1.25/5,Children's Game;Collectible Components;Fantasy;Movies / TV / Radio theme;Novel-based,Dice Rolling;Rock-Paper-Scissors;Set Collection;Variable Player Powers,Harry Potter
bg99,Stump,1968,6.2,,2-4,30  Min,10+,1.00/5,Card Game,,
bg100,Cubus,1987,5.9,8297,2-6,20  Min,10+,1.90/5,Abstract Strategy,Modular Board;Tile Placement,Edition Perlhuhn series at Franckh-Kosmos
bg101,Corda,1982,4.6,,1-6,10  Min,8+,3.00/5,Abstract Strategy;Puzzle,Modular Board;Tile Placement,Edition Perlhuhn series at Franckh-Kosmos
bg102,Raven,1996,5.8,,2,90  Min,12+,0.00/5,Fantasy;Fighting;Miniatures;Wargame,Dice Rolling,
bg103,Lunar Rails,2003,6.9,2014,2-6,180-240  Min,10+,2.79/5,Economic;Science Fiction;Trains;Transportation,Crayon Rail System;Pick-up and Deliver;Route/Network Building,Admin: Better Description Needed!;Empire Builder Rail Games;Moon/Lunar
bg104,Bastard,1992,6.0,,2-4,90  Min,12+,3.00/5,Exploration;Fantasy;Movies / TV / Radio theme,Tile Placement,
bg105,Legend of Camelot,1987,5.6,10121,2-4,45  Min,8+,2.00/5,Fighting;Medieval,Dice Rolling;Roll / Spin and Move,The Legend of King Arthur and the Knights of the…
bg106,Forte Trivia Cards Volume One,1984,4.9,,2-6,120  Min,12+,0.00/5,Card Game;Expansion for Base-game;Party Game;Trivia,Roll / Spin and Move,
bg107,BLARF,1981,4.5,,2-4,30  Min,8+,2.00/5,Abstract Strategy;Dice;Memory;Racing,Dice Rolling;Memory;Point to Point Movement;Roll / Spin and Move,
bg108,Bibleopoly,1991,3.8,12421,2-6,60  Min,8+,1.50/5,Economic;Negotiation;Religious,Auction/Bidding;Roll / Spin and Move;Set Collection;Trading,Monopoly
bg109,Paris Zoom,1987,4.0,,2-4,30  Min,6+,0.00/5,Children's Game;Trivia,Variable Player Powers,Cities: Paris (France)
bg110,Refugium,1999,5.5,,2-4,20  Min,10+,3.00/5,City Building,Tile Placement,
bg111,Who?,1951,6.3,,2-5,30  Min,6+,1.00/5,Bluffing;Deduction,Role Playing;Variable Player Powers,
bg112,Verbatim,1985,4.3,,2-4,45  Min,8+,0.00/5,Word Game,Tile Placement,
bg113,Seven Seas to Victory,1992,7.3,,2,120  Min,12+,2.83/5,Nautical;Wargame;World War II,Hex-and-Counter,
bg114,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003,6.4,,2-8,90  Min,12+,2.10/5,Animals;Card Game;Expansion for Base-game;Humor;Negotiation,Dice Rolling;Hand Management;Take That;Trading,Animals: Rabbits;Killer Bunnies
bg115,Madeline,1992,5.4,10450,2-4,30  Min,4+,1.00/5,Children's Game;Memory;Movies / TV / Radio theme;Novel-based,Memory;Point to Point Movement;Set Collection,Animals: Dogs;Characters: Madeline
bg116,Sports Franchise,1988,6.6,,3-6,90  Min,8+,0.00/5,Sports,Roll / Spin and Move;Set Collection;Simulation;Trading,
bg117,Charlie's Angels,1977,3.9,,2-4,45  Min,8+,1.00/5,Adventure;Movies / TV / Radio theme;Spies/Secret Agents,Area Enclosure;Point to Point Movement;Roll / Spin and Move,TV Detectives;TV Series: Charlie's Angels
bg118,Cube Checkers,1997,5.7,10496,2,30  Min,6+,2.50/5,Abstract Strategy,,Checkers;Mensa Select
bg119,Sternenhimmel,1995,6.6,2860,3-5,30  Min,10+,2.09/5,Bluffing,Area Control / Area Influence;Auction/Bidding,
bg120,Murphy's Magic Island,1992,5.7,,2-6,10  Min,8+,2.00/5,Dice;Maze;Racing,Dice Rolling;Modular Board;Point to Point Movement;Roll / Spin and Move,
bg121,Back Off! Buzzard,1990,4.8,11348,2-4,20  Min,6+,1.00/5,Children's Game;Electronic,Point to Point Movement,
bg122,Voyage to the Bottom of the Sea Card Game,1965,6.0,,2-6,30  Min,7+,0.00/5,Card Game;Movies / TV / Radio theme,Hand Management,
bg123,Dick Tracy Playing Card Game,1934,5.0,,2-4,30  Min,,0.00/5,Card Game;Comic Book / Strip,Hand Management,Characters: Dick Tracy;Comics: Chicago Tribune Syndicate
bg124,Transformers Adventure Game,1984,4.3,,2-4,30  Min,7+,1.75/5,Adventure;Children's Game,,80's Cartoons;Transformers
bg125,Arbora,1984,5.0,,2-6,30  Min,8+,1.00/5,Environmental,Tile Placement,Edition Perlhuhn series at Franckh-Kosmos;Tube Games
bg126,Stun,1986,4.4,12162,2-6,10  Min,7+,1.00/5,Card Game,Set Collection,
bg127,Lords Of The Middle Sea,1978,5.8,,2-4,180  Min,12+,2.40/5,Science Fiction;Wargame,Hex-and-Counter,Admin: Better Description Needed!
bg128,Ninety-Nine,1967,7.3,2245,2-4,60  Min,8+,2.09/5,Card Game,Betting/Wagering;Hand Management;Trick-taking,Card Games: Adding Games;Card Games: Outplay Games;Traditional Card Games
bg129,Alien,1979,5.5,10680,2-4,30  Min,7+,1.00/5,Movies / TV / Radio theme;Science Fiction,Roll / Spin and Move,Aliens
bg130,Plague & Pestilence,1993,6.1,3442,2-6,30  Min,,1.39/5,Card Game;Medieval,Card Drafting;Dice Rolling;Take That,
bg131,Road Block,1987,8.0,,2-7,30  Min,12+,0.00/5,Educational;Transportation,Roll / Spin and Move,
bg132,Power Play,1970,6.3,,2,45  Min,8+,0.00/5,Abstract Strategy;Sports,Area Movement,Sports: Ice Hockey
bg133,Scooby-doo! Get That Dog,1999,4.8,,2-4,20  Min,3+,1.00/5,Children's Game;Memory;Movies / TV / Radio theme,Memory,Animals: Dogs;Cartoons: Hanna-Barbera;TV Series: Scooby-doo
bg134,Scooby-doo! Thrills and Spills,1999,4.0,,2-4,20  Min,6+,1.20/5,Action / Dexterity;Children's Game;Electronic;Movies / TV / Radio theme,,Animals: Dogs;Cartoons: Hanna-Barbera;TV Series: Scooby-doo
bg135,Auf der Flucht vor Tyrannosaurus,1993,5.7,,2-4,20  Min,7+,1.67/5,Animals;Prehistoric,Area Movement;Modular Board;Secret Unit Deployment;Simultaneous Action Selection;Variable Player Powers,Animals: Dinosaurs
bg136,À qui le tour ?,1994,6.4,,2-4,240  Min,12+,0.00/5,Racing;Sports,Action Point Allowance System;Simulation,Sports: Bicycle / Cycling
bg137,Crosscheck,1985,5.0,,2-4,60  Min,10+,1.50/5,Trivia;Word Game,Pattern Building,
bg138,Head to Head,1972,5.5,,2,20  Min,8+,0.00/5,Real-time;Word Game,,
bg139,Shadowrun Duels,2003,5.7,9549,2,30  Min,8+,2.30/5,Collectible Components;Dice;Fantasy;Fighting;Miniatures,Action Point Allowance System;Dice Rolling;Variable Player Powers,CMGs (Collectible Miniatures Games);Cyberpunk;From RPG books to board games;Shadowrun
bg140,Command Decision III,1998,6.9,7417,2,360  Min,15+,3.67/5,Miniatures;Wargame;World War II,Secret Unit Deployment;Simultaneous Action Selection,
bg141,Conquest,1974,6.3,3561,2-4,120  Min,10+,2.52/5,Abstract Strategy;Ancient;Wargame,Action Point Allowance System;Point to Point Movement,
bg142,Starship Troopers,1976,6.4,1954,1-2,120  Min,12+,3.08/5,Novel-based;Science Fiction;Wargame,Hex-and-Counter;Secret Unit Deployment,Solitaire Games;Solitaire Wargames
bg143,Command Decision II,1992,6.8,6389,2,360  Min,12+,4.14/5,Miniatures;Modern Warfare;Wargame;World War II,Secret Unit Deployment;Simultaneous Action Selection,
bg144,Battlecards: World Conflict - Pacific Theatre - Starter Set,2003,5.7,9431,2-8,60  Min,10+,1.86/5,Card Game;Fighting;Wargame;World War II,Campaign / Battle Card Driven;Hand Management;Secret Unit Deployment,Battlecards Series
bg145,Battlecards: World Conflict - The Russian Front - Starter Set,2003,5.4,10599,2-8,60  Min,10+,2.20/5,Card Game;Fighting;Wargame;World War II,Campaign / Battle Card Driven;Hand Management;Secret Unit Deployment,Battlecards Series;Country: Russia
bg146,The Amazing Spider Man Game with the Fantastic Four!,1967,3.8,,2-4,30  Min,8+,1.00/5,Comic Book / Strip,Roll / Spin and Move,Comics: Marvel Universe;Superheroes
bg147,Spider-Man,1995,5.0,,2-4,20  Min,6+,1.00/5,Action / Dexterity;Children's Game;Comic Book / Strip,Hand Management;Set Collection,Comics: Marvel Universe;Superheroes
bg148,Batman: Gotham City Mystery,2003,5.6,10067,2-5,45  Min,8+,1.00/5,Comic Book / Strip;Deduction,Roll / Spin and Move,Comics: DC Universe;Superheroes
bg149,Xerxes,1973,5.9,9291,2,30  Min,10+,1.86/5,Abstract Strategy;Ancient;Fighting,Secret Unit Deployment,
bg150,Age of Mythology: The Boardgame,2003,6.2,2080,2-4,180  Min,10+,2.93/5,Ancient;Civilization;Mythology;Video Game Theme,Campaign / Battle Card Driven;Dice Rolling;Rock-Paper-Scissors;Secret Unit Deployment;Variable Phase Order;Variable Player Powers,Country: Egypt;Country: Greece;Country: Norway
bg151,Eureka!,2002,5.5,10426,2-4,20  Min,6+,1.00/5,Children's Game;Educational;Exploration;Maze;Memory,Memory;Modular Board;Roll / Spin and Move;Set Collection,
bg152,Squiggle,2002,5.3,,3-8,45  Min,10+,0.00/5,Party Game,Line Drawing;Paper-and-Pencil,
bg153,Bull Run,1983,6.1,5616,2,240  Min,12+,3.05/5,American Civil War;Wargame,Dice Rolling;Hex-and-Counter,
bg154,Luck Plus,1983,5.6,10386,2-8,20  Min,7+,1.14/5,Card Game;Dice,Dice Rolling,Shut the Box
bg155,Hit the Deck,2001,4.4,12616,2-6,20  Min,6+,1.00/5,Bluffing;Card Game,,
bg156,Monopoly: Coca-Cola Collector's Edition,1996,4.9,11193,2-8,90  Min,8+,1.50/5,Economic;Negotiation,Auction/Bidding;Roll / Spin and Move;Set Collection;Trading,Monopoly
bg157,Monopoly: Batman & Robin,1997,4.3,,2-8,90  Min,8+,2.00/5,Comic Book / Strip;Economic;Movies / TV / Radio theme;Negotiation,Auction/Bidding;Roll / Spin and Move;Set Collection;Trading,Comics: DC Universe;Monopoly;Superheroes
bg158,Go Away Monster!,1997,6.5,2294,2-4,10-15  Min,3+,1.00/5,Children's Game;Puzzle,Co-operative Play;Pattern Recognition;Set Collection,Monsters
bg159,Tripoley Dice,1997,4.3,,2,20  Min,8+,1.00/5,Card Game;Dice,Dice Rolling;Paper-and-Pencil,Tripoley
bg160,Star Wars: Yoda the Jedi Master,1981,4.2,,2-4,20  Min,8+,1.00/5,Children's Game;Movies / TV / Radio theme;Science Fiction,Point to Point Movement;Roll / Spin and Move,Star Wars
bg161,The Rescuers,1977,4.4,,2-4,10  Min,6+,0.00/5,Children's Game;Movies / TV / Radio theme;Novel-based,Roll / Spin and Move,Animals: Mice;Celebrities: Walt Disney
bg162,Anathema,2003,5.5,10609,2-4,30  Min,8+,1.50/5,Card Game;Horror,Set Collection,Card Games: Card Fishing;Traditional Card Games
bg163,Liberty: The American Revolution 1775-83,2003,7.2,1640,2,180  Min,12+,2.60/5,Age of Reason;American Revolutionary War;Wargame,Action Point Allowance System;Dice Rolling;Secret Unit Deployment,Block wargames;Country: USA;Holidays:  4th of July
bg164,Warplan Dropshot,2002,6.9,7123,2,180  Min,12+,2.50/5,Modern Warfare;Wargame,Hex-and-Counter;Simulation,
bg165,Victory in Vietnam,1999,7.6,5934,2,180  Min,12+,2.83/5,Vietnam War;Wargame,Hex-and-Counter;Secret Unit Deployment,Country: Vietnam
bg166,Revanche,2001,5.0,,2,10  Min,12+,0.00/5,Wargame;World War II,Hex-and-Counter,Blood and Steel series
bg167,Redguard,2002,5.0,,1-6,90  Min,12+,3.00/5,Civil War;Modern Warfare;Territory Building;Wargame,Area-Impulse;Modular Board;Secret Unit Deployment;Simulation,Country: China
bg168,Battleship: Star Wars Advanced Mission,2002,5.7,9179,1-2,20  Min,8+,1.25/5,Electronic;Movies / TV / Radio theme;Science Fiction,Modular Board;Secret Unit Deployment,Battleship;Star Wars
bg169,Star Wars: The Ultimate Space Adventure Game,1982,4.4,,2-4,20  Min,7+,1.00/5,Children's Game;Movies / TV / Radio theme;Science Fiction,Roll / Spin and Move,Star Wars
bg170,WWF World Wrestling Federation Wrestling Trivia Game,1998,4.8,,2-6,45  Min,8+,0.00/5,Sports;Trivia,,Sports: Wrestling
bg171,Bartok,1985,7.0,,2-10,120  Min,8+,1.50/5,Card Game;Humor;Party Game,Hand Management;Memory,Card Games: Matching Games;Card Games: Outplay Games;Shedding Games;Traditional Card Games
bg172,North to Alaska,1984,5.3,,2-8,45  Min,8+,1.50/5,Adventure,Dice Rolling;Roll / Spin and Move,
